# alpha1,beta1,alpha2,beta2
-5.029405,-0.091413,-3.333014,-0.034793
1.029593,-0.098096,-1.702416,-0.038243
-2.802357,-0.090403,-3.058888,-0.049865
3.636608,-0.072254,4.146758,-0.035155
-0.039818,-0.112142,-1.581415,-0.071446
0.855301,-0.077442,-1.415545,-0.034666
5.151172,-0.100402,4.022751,-0.045590
-1.030458,-0.096745,-0.189251,-0.039861
-2.026085,-0.087157,-0.528677,-0.039554
1.402576,-0.114617,0.616643,-0.044991
2.107576,-0.134646,0.953837,-0.064608
-0.733388,-0.092498,-0.006721,-0.056338
-2.811928,-0.093663,-3.269596,-0.042087
-3.296012,-0.069714,-3.259392,-0.037599
-3.848461,-0.101031,-3.995485,-0.034367
0.084057,-0.128834,2.838403,-0.047751
-0.536024,-0.105016,-1.411403,-0.049629
5.575786,-0.087757,2.678131,-0.047055
4.236555,-0.126367,1.758865,-0.056168
-7.179496,-0.099482,-4.710139,-0.067650
-4.337798,-0.105503,-2.113198,-0.052949
3.600428,-0.097584,3.788902,-0.056460
-0.504714,-0.074965,1.890818,-0.043275
2.952850,-0.088592,1.842724,-0.056034
-4.403263,-0.086807,-1.473511,-0.044339
-1.636023,-0.120056,0.452733,-0.049963
-0.710402,-0.112583,-0.307933,-0.054932
3.480373,-0.079381,3.781927,-0.048389
-6.962009,-0.071739,-4.512684,-0.038142
-3.116534,-0.083850,-4.105841,-0.034639
-3.741904,-0.096526,-1.729742,-0.042201
-4.991025,-0.106490,-3.910592,-0.068349
-1.841981,-0.090660,-2.361946,-0.055670
5.103050,-0.096878,2.310579,-0.054125
4.026713,-0.109367,2.843263,-0.046054
1.729742,-0.099387,2.633629,-0.056818
-6.107066,-0.089946,-4.170734,-0.045481
0.683624,-0.108725,-0.929686,-0.057505
-1.029369,-0.107461,-1.488404,-0.063498
4.221385,-0.119636,2.176561,-0.039725
-4.818408,-0.090707,-3.105115,-0.037105
7.762817,-0.095742,4.671302,-0.048362
-1.866153,-0.114322,-0.135253,-0.039855
2.751867,-0.118281,4.604933,-0.036601
-0.731995,-0.108496,-3.254601,-0.057700
0.414410,-0.093431,-1.075966,-0.043591
-1.461794,-0.081421,-2.131808,-0.048189
1.755763,-0.123919,2.103916,-0.060603
-1.998762,-0.119303,-3.207316,-0.054838
-6.510988,-0.073572,-3.755131,-0.038454
-0.630462,-0.098233,0.672802,-0.059784
-2.568765,-0.104310,0.007925,-0.042252
-2.574633,-0.095657,-0.688431,-0.036674
-3.660162,-0.101019,-0.955997,-0.051144
2.372895,-0.090980,4.197082,-0.037197
2.883065,-0.082662,1.834800,-0.037591
1.063092,-0.100606,2.231039,-0.051937
-2.271112,-0.117700,-3.009782,-0.037307
7.134382,-0.100437,4.181570,-0.041961
1.852737,-0.114254,0.314970,-0.045413
0.934858,-0.073753,1.889008,-0.042882
2.713268,-0.096857,1.622502,-0.040484
-0.176611,-0.141032,-3.182282,-0.066411
2.867960,-0.116887,3.111391,-0.053093
0.518675,-0.084376,0.622136,-0.039377
-1.816584,-0.090904,-0.165579,-0.042506
0.717220,-0.133569,1.750037,-0.054366
2.779019,-0.090338,-0.107041,-0.053985
1.989077,-0.082414,1.717486,-0.039634
2.257574,-0.123594,2.216057,-0.056645
-1.248300,-0.127842,-1.045181,-0.062602
-2.584204,-0.083443,-0.584155,-0.040546
-4.940280,-0.143910,-4.368340,-0.062956
-3.460256,-0.113101,-1.601943,-0.064907
-3.037719,-0.125268,-3.471212,-0.058384
-1.421123,-0.093754,1.576788,-0.034619
4.651336,-0.130514,1.685184,-0.067962
1.396258,-0.138192,-1.524087,-0.065193
2.371317,-0.084312,1.806437,-0.040825
-5.116618,-0.130610,-4.237531,-0.065226
-2.632043,-0.131850,-1.490729,-0.059632
3.353806,-0.075160,1.336979,-0.037568
-2.903795,-0.107516,-3.939913,-0.057435
5.408492,-0.122469,4.669192,-0.056402
7.120626,-0.090837,4.644004,-0.038181
-1.617212,-0.116332,1.467034,-0.059024
0.970510,-0.092361,-1.933829,-0.035927
6.333570,-0.104323,4.642472,-0.055585
-1.143885,-0.096038,-2.507362,-0.044942
-3.872536,-0.098445,-4.358010,-0.064835
-3.202646,-0.077997,-3.459589,-0.043533
0.942188,-0.082962,0.024747,-0.044953
-0.864681,-0.132939,-3.434105,-0.065068
0.992980,-0.080764,-2.114707,-0.045851
4.487564,-0.092826,2.819246,-0.056829
0.853991,-0.111127,2.224868,-0.040678
0.139575,-0.072501,1.144273,-0.038204
-1.716616,-0.110823,0.295418,-0.061796
1.839853,-0.079864,4.655124,-0.045251
2.595888,-0.111135,4.185831,-0.068644
-1.817846,-0.075988,-3.430501,-0.039701
-4.143396,-0.110794,-4.059049,-0.069640
4.777207,-0.093293,2.698734,-0.037839
1.056181,-0.091653,0.145687,-0.042611
0.280088,-0.099479,0.019858,-0.046012
-6.374899,-0.109783,-3.688752,-0.062094
2.133074,-0.075325,4.238653,-0.036481
-3.522762,-0.121380,-2.108899,-0.061037
-2.776248,-0.085074,-1.740669,-0.045544
1.914292,-0.084351,3.980344,-0.041175
-7.024449,-0.105953,-4.437688,-0.043554
1.472802,-0.124291,1.289445,-0.055989
4.107501,-0.087955,4.273030,-0.035111
2.249231,-0.101625,1.757185,-0.067287
4.225588,-0.107271,3.043448,-0.063966
-1.546303,-0.078763,-4.019708,-0.034093
1.067578,-0.121313,1.460982,-0.066446
5.250223,-0.116512,2.429867,-0.039725
0.574520,-0.073387,1.901734,-0.040188
4.292518,-0.095732,1.857238,-0.058582
0.218354,-0.109432,0.052454,-0.055919
5.426030,-0.113237,2.707066,-0.051627
1.455953,-0.072447,0.595848,-0.037262
4.679822,-0.104283,2.379912,-0.054923
-0.479254,-0.077033,2.537413,-0.038319
-3.179305,-0.099179,-4.602984,-0.052935
-2.799801,-0.092327,-2.270568,-0.037557
-2.132635,-0.107018,0.044165,-0.066877
5.218375,-0.086860,3.009870,-0.041203
-0.974871,-0.076741,-0.897406,-0.035958
-4.236748,-0.112360,-4.122981,-0.071112
2.532489,-0.097190,0.730383,-0.048272
-5.393658,-0.080014,-2.560465,-0.039336
7.419356,-0.101902,4.297894,-0.035650
-5.561020,-0.096732,-3.731938,-0.039966
-0.496158,-0.094940,2.431895,-0.040517
5.786027,-0.133637,3.448884,-0.060773
-1.921712,-0.090113,1.184492,-0.042213
-5.024419,-0.110634,-2.991192,-0.060328
0.704919,-0.080184,-0.974445,-0.043644
-0.525581,-0.119871,-2.433270,-0.065987
-2.771514,-0.117744,-4.676081,-0.040618
-5.147048,-0.116045,-4.453421,-0.056942
-4.136602,-0.084573,-3.334207,-0.045266
4.166177,-0.129388,3.530813,-0.049520
3.023070,-0.096962,1.110805,-0.042991
-3.789390,-0.093028,-4.454199,-0.051848
0.178897,-0.078140,1.953535,-0.041691
2.945422,-0.088891,2.174287,-0.051309
1.513439,-0.085094,1.524234,-0.039281
5.065502,-0.081966,2.679421,-0.042138
0.507648,-0.133023,-2.589008,-0.049654
4.132816,-0.101002,1.267274,-0.039380
2.483513,-0.120850,0.559507,-0.049001
-3.221098,-0.088643,-4.673513,-0.054164
7.496214,-0.084694,4.618150,-0.044652
-4.774388,-0.116878,-1.716484,-0.057125
-0.845651,-0.096452,-1.111532,-0.038455
-0.739554,-0.131266,-1.508739,-0.064964
-3.056121,-0.088264,-1.470794,-0.041568
3.101821,-0.088620,3.319411,-0.043748
-0.598446,-0.093723,-1.194718,-0.043960
1.628970,-0.116462,3.934277,-0.055519
-2.287367,-0.112096,-0.683735,-0.070178
-2.460597,-0.114343,-1.397432,-0.038714
4.827967,-0.089614,2.316867,-0.037434
1.362576,-0.120405,-0.024497,-0.061476
-3.430552,-0.075338,-1.064946,-0.040956
-3.970325,-0.080047,-4.561727,-0.045319
2.592910,-0.102159,0.142044,-0.037592
0.926412,-0.087533,1.189764,-0.044647
4.588074,-0.086644,4.503514,-0.044101
-3.695237,-0.129090,-4.148664,-0.058144
-3.959613,-0.107913,-1.689271,-0.058818
3.948025,-0.103725,4.626143,-0.053045
4.178867,-0.132102,1.389164,-0.055373
-2.584243,-0.143804,0.017783,-0.066255
0.366128,-0.071394,1.497641,-0.039497
-5.301559,-0.080557,-2.443351,-0.034824
-1.538925,-0.097494,1.008426,-0.047702
-3.373790,-0.078195,-0.956755,-0.035093
-1.562574,-0.090937,0.884021,-0.043517
-4.710814,-0.132279,-2.216651,-0.067141
-1.791955,-0.088778,-2.894728,-0.041647
3.491938,-0.139892,1.362505,-0.060113
-0.794937,-0.114941,-2.474278,-0.039524
4.643679,-0.092175,4.048096,-0.035972
4.721882,-0.083923,4.069418,-0.041369
-6.477922,-0.096947,-3.425760,-0.063519
3.451686,-0.097337,3.707332,-0.050436
4.219069,-0.112893,1.883289,-0.050437
-2.872541,-0.088511,-2.211011,-0.037678
-5.142585,-0.098745,-2.621411,-0.047518
1.938882,-0.083609,0.667929,-0.048611
-0.576501,-0.098460,-1.954126,-0.044564
0.313036,-0.098501,1.357112,-0.049554
0.108152,-0.084870,-2.482578,-0.035280
0.392401,-0.092974,0.272808,-0.056127
3.730278,-0.123903,4.062827,-0.061833
-3.154439,-0.097319,-4.624243,-0.061018
1.885196,-0.113645,4.573524,-0.035299
-0.602169,-0.108713,-1.950534,-0.039518
-0.659548,-0.115324,-3.558903,-0.053894
-0.148816,-0.071515,0.778629,-0.038318
-1.870495,-0.080164,-0.792837,-0.047952
-0.768627,-0.072806,-2.089809,-0.038371
2.854116,-0.083156,4.434932,-0.047199
2.849587,-0.121835,2.255684,-0.054639
-0.952063,-0.087788,-1.189144,-0.055748
-6.533713,-0.077984,-4.673233,-0.039264
-5.980569,-0.092818,-2.884053,-0.056843
-1.509204,-0.095618,-2.445991,-0.055235
-5.801685,-0.088721,-3.923604,-0.045679
1.081068,-0.089986,-0.870744,-0.051731
5.996404,-0.100955,3.705878,-0.045919
1.554376,-0.097048,-1.348805,-0.058926
-1.142617,-0.115803,1.311077,-0.056604
-2.671029,-0.110317,-1.272629,-0.050151
2.673448,-0.115815,-0.388527,-0.039304
-0.346317,-0.103398,0.450204,-0.042509
4.459333,-0.126743,2.440349,-0.052100
-1.754355,-0.086092,-1.982905,-0.052007
3.132789,-0.099838,2.913756,-0.034456
0.638673,-0.098827,2.009673,-0.057662
1.634689,-0.114686,3.085210,-0.045462
0.097386,-0.112421,2.487943,-0.034406
4.795098,-0.092562,2.885007,-0.057607
1.395352,-0.108527,3.354406,-0.050872
-1.725175,-0.100070,-0.319391,-0.052127
4.281893,-0.115992,3.465257,-0.063850
0.974373,-0.124799,-2.152872,-0.042341
-4.651845,-0.102844,-4.420815,-0.034426
1.377140,-0.110158,0.810776,-0.064507
2.143300,-0.086152,3.505341,-0.049578
-2.401802,-0.090056,-0.618632,-0.039669
-4.361423,-0.121140,-3.232390,-0.065226
-2.331870,-0.099546,-3.120858,-0.048209
-5.322986,-0.106261,-2.678772,-0.056730
0.226291,-0.108119,3.065305,-0.067850
0.164501,-0.088890,0.261390,-0.039129
-5.512565,-0.081587,-4.189270,-0.044676
-1.375426,-0.090201,1.330870,-0.045092
-0.622724,-0.080635,-0.222755,-0.047119
-7.535851,-0.118821,-4.446592,-0.045130
1.944060,-0.107757,4.622798,-0.037008
2.985361,-0.108343,3.884682,-0.053885
-0.477428,-0.121509,-1.404395,-0.061551
5.223651,-0.099217,2.597816,-0.062406
-0.965202,-0.103971,0.501942,-0.035093
-2.894633,-0.108812,-3.365681,-0.054800
7.344131,-0.078697,4.371222,-0.046888
1.299911,-0.108672,3.384957,-0.056564
0.326705,-0.098515,-2.416780,-0.063607
7.001995,-0.068535,4.176014,-0.038172
4.843770,-0.090331,4.021189,-0.037919
-6.070685,-0.098757,-3.445101,-0.044298
-0.908004,-0.098815,1.560473,-0.067017
-4.276961,-0.114001,-3.696802,-0.044023
-4.577886,-0.115039,-3.833126,-0.059948
-0.195686,-0.086701,-0.521163,-0.055250
-0.269221,-0.122038,1.938746,-0.063553
0.055241,-0.127254,-3.028164,-0.056763
-0.266418,-0.118817,-1.492177,-0.050232
4.381456,-0.068036,4.473195,-0.037487
1.996617,-0.095291,-1.080981,-0.064381
2.611128,-0.083000,4.422153,-0.051800
-2.654614,-0.097330,-3.617711,-0.064813
-3.078200,-0.124853,-3.117103,-0.054307
0.210724,-0.112088,-1.111586,-0.036382
5.795522,-0.095146,3.412106,-0.057825
-4.784189,-0.129616,-1.789948,-0.054204
-2.634927,-0.096112,-2.616709,-0.065320
2.177954,-0.111894,3.899865,-0.035406
1.991055,-0.078802,2.779896,-0.041784
-0.959490,-0.112900,0.199740,-0.041541
-1.588142,-0.099938,-0.327511,-0.065603
2.874822,-0.094345,3.642262,-0.058801
5.808688,-0.114871,4.444596,-0.050493
1.467476,-0.109495,2.731317,-0.069471
-5.602953,-0.111681,-3.083361,-0.058918
2.280172,-0.118889,0.580062,-0.041490
1.196585,-0.088680,4.290690,-0.041583
-4.478741,-0.115457,-3.165827,-0.035803
4.984458,-0.097982,3.275782,-0.041472
-0.690797,-0.077902,1.816630,-0.046410
-1.617455,-0.087005,-2.609263,-0.041652
5.358682,-0.096983,3.857672,-0.035577
-5.242766,-0.102845,-4.328408,-0.042208
-0.589462,-0.108956,-1.801073,-0.055632
-3.087464,-0.083400,-0.282883,-0.037966
2.450409,-0.105491,1.947472,-0.042227
-5.881033,-0.098466,-3.214426,-0.043609
-1.539125,-0.112625,-4.331996,-0.057077
-0.098546,-0.101627,1.688220,-0.064262
7.014163,-0.114781,4.116124,-0.043959
0.994886,-0.134701,3.258046,-0.061965
-1.446023,-0.109946,-3.533438,-0.061748
-0.770477,-0.098163,0.393860,-0.060445
3.440099,-0.119944,4.014628,-0.045864
1.531727,-0.073685,-0.834647,-0.040068
2.864953,-0.064799,0.188717,-0.034381
4.110479,-0.113493,1.711013,-0.038526
2.842415,-0.118568,0.369922,-0.050590
-4.586426,-0.087065,-2.405020,-0.048537
-1.234963,-0.109505,0.901973,-0.036398
2.466663,-0.133823,-0.631699,-0.059867
0.928667,-0.088601,0.424239,-0.034833
-1.136306,-0.095950,-3.392635,-0.038406
1.330993,-0.081730,-0.858269,-0.035168
-1.333001,-0.088691,-1.401864,-0.050263
2.399893,-0.082491,4.200833,-0.050972
3.746865,-0.090658,3.496442,-0.049267
1.119917,-0.098499,3.340551,-0.037065
4.672565,-0.082688,2.207433,-0.049610
6.069194,-0.080752,3.192312,-0.036195
4.122539,-0.111143,1.501376,-0.053526
-0.905944,-0.067093,0.074216,-0.035637
0.781545,-0.080423,-0.772550,-0.035462
-1.032366,-0.095051,1.218267,-0.052532
-5.977826,-0.083738,-3.357002,-0.050109
-3.584533,-0.118236,-0.522516,-0.054912
1.740441,-0.076709,2.037125,-0.041758
-5.336110,-0.123645,-2.226042,-0.063581
-0.369147,-0.091864,-1.205938,-0.039246
-0.617417,-0.135307,-2.320278,-0.053984
-1.719162,-0.071033,-0.398163,-0.038477
-1.321045,-0.109194,-2.165180,-0.045004
1.288854,-0.116045,0.107660,-0.057637
3.519343,-0.089103,4.520859,-0.051354
-4.631607,-0.098816,-3.626101,-0.056099
-1.392956,-0.119222,-3.000808,-0.049741
5.601191,-0.103616,3.264242,-0.034750
3.099533,-0.124377,3.675471,-0.070332
-6.904993,-0.115453,-4.475216,-0.054549
5.373881,-0.102469,3.386161,-0.066655
2.898068,-0.088427,1.001129,-0.044319
0.012091,-0.082343,1.983701,-0.046755
-2.665258,-0.108016,-1.264428,-0.067479
-1.597892,-0.082866,-1.791170,-0.036305
1.738698,-0.109741,0.087787,-0.063212
4.275101,-0.100036,3.359579,-0.050533
4.230954,-0.131637,1.602430,-0.053689
1.289812,-0.087621,0.832014,-0.053901
0.822919,-0.105023,1.849766,-0.044850
1.351382,-0.122125,-0.406967,-0.040590
-1.851065,-0.113532,0.972349,-0.047190
2.081256,-0.136368,-0.117057,-0.065045
-7.068784,-0.087355,-4.311886,-0.046761
5.345209,-0.096348,4.150775,-0.061144
1.874070,-0.082219,1.891808,-0.050130
-1.544924,-0.105593,-2.157298,-0.035154
2.475309,-0.124632,4.077374,-0.043908
2.250467,-0.086742,0.700252,-0.036101
-2.633875,-0.112317,-4.352128,-0.053070
-2.843733,-0.091701,-3.208730,-0.046809
-2.094730,-0.085115,-3.258522,-0.047000
-6.060578,-0.084161,-3.370855,-0.042795
-0.958920,-0.082070,-1.165484,-0.037738
5.759889,-0.137524,3.287539,-0.067421
4.309717,-0.125762,3.274160,-0.048475
-0.292672,-0.103808,1.076140,-0.066756
1.269297,-0.095770,-0.698927,-0.058863
0.436660,-0.150735,1.751271,-0.069832
-5.662598,-0.094850,-4.394443,-0.050296
-2.611798,-0.099687,0.043652,-0.058693
-5.779792,-0.119328,-2.678348,-0.059757
-3.245457,-0.081837,-1.629409,-0.035200
-2.262658,-0.074080,0.540258,-0.036751
0.958587,-0.109165,1.811748,-0.042170
1.105828,-0.133246,0.747661,-0.064625
-4.057014,-0.138377,-4.189680,-0.066355
1.929845,-0.099697,-1.153796,-0.050860
0.544657,-0.095428,1.762966,-0.047090
2.798552,-0.119787,0.966910,-0.044903
-3.141757,-0.130454,-2.384332,-0.056975
-2.201136,-0.138250,-4.116598,-0.065783
-3.972673,-0.107299,-1.818618,-0.049316
-0.705238,-0.144089,-0.625585,-0.061825
0.448750,-0.080470,0.194787,-0.034407
0.433427,-0.117132,0.545477,-0.067063
6.305807,-0.081120,3.422435,-0.049364
-4.014355,-0.081463,-2.186554,-0.038499
2.106021,-0.087852,-0.341131,-0.041435
4.072754,-0.112643,3.701202,-0.056648
-6.461754,-0.099218,-4.006976,-0.049262
1.005331,-0.095330,3.139937,-0.036945
-3.677233,-0.136943,-2.856754,-0.054966
1.690812,-0.114561,1.471506,-0.052536
1.965664,-0.128568,2.919283,-0.061569
-1.344830,-0.080587,-0.174663,-0.046922
2.481207,-0.078078,3.157779,-0.047875
1.868758,-0.125105,-1.123142,-0.043039
-2.154404,-0.083453,-3.603297,-0.048507
-4.816246,-0.089567,-3.813592,-0.043802
